hole_id,date,easting_x,northing_y,elevation,elev_topo,eoh,is_old,is_twin,inc_samp,elev_1
F07-073,"44247",404707.346,114774.265,361.131,,12.5,"1","1","14",356.887512207031
F07-097,"44255",404505.921,114725.746,376.609,,5.3,"1","0","6",397.940246582031
F07-099,"44255",404555.005,114724.671,360.33,,14,"1","0","16",384.548095703125
F07-100,"44395",404581.168,114688.048,381,,10,"1","0","11",383.850921630859
F07-101,"44247",404607.448,114721.774,367.28,,8.5,"1","0","9",374.397827148438
F07-102,"44395",404629.02,114699.578,366.533,,6,"1","0","6",374.307342529297
F07-103,"44247",404656.183,114725.406,361.452,,9.5,"1","0","11",367.052276611328
F07-104,"44395",404669.508,114703.972,351.002,,16,"1","0","22",367.432830810547
F07-105,"44247",404706.416,114696.762,340.77,,22,"1","0","22",362.25537109375
F07-129,"44547",404503.978,114671.262,376.731,,8,"1","0","10",401.304260253906
F07-130,"44395",404534.371,114640.291,391.921,,7,"1","1","8",405.115264892578
F07-131,"44248",404548.458,114668.181,391.412,,9,"1","1","11",395.554443359375
F07-132,"44395",404589.187,114644.858,374.35,,9,"1","0","10",393.037811279297
F07-133,"44248",404602.628,114663.926,365.983,,11,"1","0","11",385.674926757812
F07-134,"44395",404631.229,114645.798,361.456,,18,"1","0","20",383.293701171875
F07-135,"44247",404655.677,114674.874,351.715,,21,"1","0","22",373.998413085938
F07-136,"44395",404685.048,114647.126,354.392,,12,"1","0","18",370.517364501953
F07-137,"44247",404699.827,114667.991,345.306,,16,"1","0","17",367.403564453125
F07-161,"44547",404512.087,114611.12,391.055,,3.5,"1","1","5",412.595764160156
F07-162,"44395",404529.745,114600.804,397.088,,10,"1","0","11",415.825256347656
F07-163,"44248",404550.74,114624.432,390.881,,10,"1","1","11",407.496459960938
F07-164,"44395",404579.088,114604.226,387.611,,18,"1","0","21",405.703033447266
F07-165,"44247",404608.04,114623.583,380.614,,15,"1","0","20",395.202362060547
F07-166,"44395",404635.474,114604.088,379.714,,12,"1","0","13",388.755859375
F07-167,"44247",404656.916,114616.94,369.939,,11.5,"1","0","14",382.117645263672
F07-168,"44395",404675.615,114601.857,365.543,,9,"1","0","11",378.724945068359
F07-169,"44247",404698.14,114618.027,363.587,,4,"1","0","7",372.268127441406
F07-193,"44547",404501.861,114566.136,406.104,,12,"1","1","12",424.937652587891
F07-194,"44395",404531.987,114543.005,410.469,,9,"1","0","9",429.167022705078
F07-195,"44547",404547.577,114570.519,401.148,,11,"1","0","12",419.661254882812
F07-196,"44395",404585.142,114555.681,397.948,,10,"1","0","10",411.823028564453
F07-197,"44247",404603.767,114571.411,390.493,,13.5,"1","0","16",403.066497802734
F07-199,"44247",404659.541,114596.305,364.284,,5,"1","0","7",384.041778564453
F07-201,"44247",404697.158,114589.046,358.977,,5,"1","0","6",372.553985595703
F07-225,"44547",404507.173,114523.769,418.223,,8,"1","1","8",434.25390625
F07-227,"44547",404553.118,114521.279,409.541,,9.5,"1","1","11",428.769989013672
F07-229,"44547",404594.6,114520.024,401.245,,16,"1","1","16",415.312194824219
F08-065,"44393",404501.478,114368.528,478.682,,15,"1","0","30",490.091278076172
F08-097,"44254",404505.054,114321.608,500.293,,5,"1","0","5",495.594970703125
F08-129,"44254",404499.511,114275.675,503.372,,8,"1","0","9",510.822387695312
F08-130,"44391",404536.99,114240.444,508.88,,13,"1","0","27",521.630554199219
F08-131,"44254",404575.636,114263.904,501.141,,10.5,"1","0","13",501.081909179688
F08-132,"44390",404590.501,114236.304,506.105,,11,"1","0","14",515.890686035156
F08-133,"44254",404607.5,114275.567,492.867,,6,"1","0","7",494.275512695312
F08-161,"44254",404508.484,114228.671,511.048,,8,"1","0","13",529.859069824219
F08-162,"44390",404528.916,114194.797,521.411,,8.1,"1","1","12",538.065612792969
F08-163,"44254",404555.306,114224.799,511.885,,10,"1","0","10",528.610778808594
F08-164,"44390",404581.518,114195.946,514.775,,12.5,"1","1","16",532.644104003906
F08-165,"44254",404610.071,114219.796,507.863,,14.25,"1","0","17",517.445861816406
F08-166,"44390",404624.548,114189.562,510.58,,8,"1","0","10",525.446105957031
F08-167,"44254",404652.278,114210.068,499.507,,3.5,"1","0","5",510.977172851562
F08-172A,"44392",404783.161,114200.427,487.382,,15,"1","1","16",505.997222900391
F08-173,"44253",404807.142,114223.136,481.044,,10.6,"1","1","13",496.487640380859
F08-174,"44392",404833.539,114190.444,489.273,,9,"1","1","13",508.7880859375
F08-175,"44253",404846.681,114217.889,490.09,,3,"1","1","3",497.363647460938
F08-176,"44392",404881.092,114190.14,477.354,,18.8,"1","1","25",498.567291259766
F08-177,"44253",404905.366,114215.256,468.925,,16,"1","0","17",484.119537353516
F08-178,"44392",404925.791,114196.362,465.974,,16.3,"1","1","19",486.306396484375
F08-193,"44249",404518.166,114175.246,527.039,,5.85,"1","1","6",544.984558105469
F08-194,"44390",404533.772,114145.659,532.822,,7.25,"1","1","9",549.000610351562
F08-195,"44249",404553.709,114174.885,525.074,,8.8,"1","1","9",542.228820800781
F08-196,"44390",404577.719,114148.972,527.442,,15,"1","1","19",546.33251953125
F08-197,"44254",404615.46,114170.728,516.966,,8.75,"1","1","10",533.551025390625
F08-198,"44390",404632.84,114143.636,524.72,,12,"1","0","17",536.952453613281
F08-199,"44254",404658.259,114175.12,508.573,,9.75,"1","0","11",520.284973144531
F08-203,"44253",404757.489,114174.77,486,,8.3,"1","1","11",512.46728515625
F08-204,"44392",404778.515,114141.253,507.682,,13,"1","1","15",521.048889160156
F08-205,"44253",404800.987,114180.012,493.104,,14.5,"1","1","17",512.091247558594
F08-206,"44392",404829.763,114153.191,502.437,,5,"1","1","6",516.093933105469
F08-207,"44253",404859.277,114169.624,489.761,,11.85,"1","1","13",509.148406982422
F08-208,"44392",404875.311,114142.517,498.771,,15,"1","0","16",505.907928466797
F08-209,"44253",404903.994,114176.47,478.913,,10.6,"1","1","14",493.099029541016
F08-210,"44392",404916.22,114145.889,475.986,,12,"1","1","12",493.424468994141
F08-225,"44249",404509.66,114125.387,536.528,,13,"1","1","14",554.713989257812
F08-226,"44389",404524.656,114101.971,540.451,,15.7,"1","1","21",558.140441894531
