hole_id;date;easting_x;northing_y;elevation;elev_topo;eoh;is_old;is_twin;inc_samp
F07-036;44394;404581.619;114801.061;360.306;378.322998;22.5;1;1;27
F07-037;44248;404606.1;114827.635;350.593;371.9689941;17;1;1;19
F07-038;44395;404626.209;114792.456;353.584;369.9429932;20;1;0;28
F07-040;44395;404688.71;114785.019;355.237;353.7669983;14;1;1;19
F07-041;44247;404707.705;114823.041;352.455;345.0849915;15;1;1;15
F07-065;44255;404505.506;114773.581;373.419;391.7720032;9.6;1;1;14
F07-066;44394;404528.328;114751.388;371.954;391.1690063;12;1;0;18
F07-067;44255;404556.059;114769.852;364.205;385.447998;19;1;1;21
F07-069;44248;404607.818;114774.385;351.673;374.7179871;17.5;1;0;18
F07-070;44395;404631.932;114735.632;359.513;369.2090149;14;1;0;21
F07-071;44248;404663.683;114773.619;347.057;359.2120056;12;1;1;12
F07-072;44395;404679.308;114746.098;363.556;361.3569946;11;1;1;14
F07-073;44247;404707.346;114774.265;361.131;356.6889954;12.5;1;1;14
F07-097;44255;404505.921;114725.746;376.609;397.8450012;5.3;1;0;6
F07-099;44255;404555.005;114724.671;360.33;384.6369934;14;1;0;16
F07-100;44395;404581.168;114688.048;381;384.0050049;10;1;0;11
F07-101;44247;404607.448;114721.774;367.28;374.1539917;8.5;1;0;9
F07-102;44395;404629.02;114699.578;366.533;374.1910095;6;1;0;6
F07-103;44247;404656.183;114725.406;361.452;366.5109863;9.5;1;0;11
F07-104;44395;404669.508;114703.972;351.002;368.0230103;16;1;0;22
F07-105;44247;404706.416;114696.762;340.77;362.0669861;22;1;0;22
F07-129;44547;404503.978;114671.262;376.731;401.8370056;8;1;0;10
F07-130;44395;404534.371;114640.291;391.921;404.3880005;7;1;1;8
F07-131;44248;404548.458;114668.181;391.412;394.1210022;9;1;1;11
F07-132;44395;404589.187;114644.858;374.35;393.6879883;9;1;0;10
F07-133;44248;404602.628;114663.926;365.983;386.3059998;11;1;0;11
F07-134;44395;404631.229;114645.798;361.456;383.4349976;18;1;0;20
