hole_id,date,easting_x,northing_y,elevation,eoh,inc_samp
E07-183,44547,404241.014,114619.257,407.437,11,11
E07-183B,44393,404272.94,114622.416,414.415,17,17
E07-184,44396,404283.995,114595.67,420.912,14,15
E07-185,44546,404318.687,114621.114,417.536,8,8
E07-186,44393,404325.749,114589.573,416.079,14,17
E07-186A,44483,404344.802,114608.778,416.16,13,14
E07-187,44546,404343.626,114626.138,415.368,10,10
E07-188,44395,404382.736,114599.449,411.011,13,14
E07-189,44546,404405.117,114618.234,409.584,10,11
E07-190,44395,404424.711,114604.512,412.529,20,26
E07-191,44547,404446.921,114622.855,405.294,9,9
E07-192,44396,404479.165,114602.542,392.783,10,11
E07-215,44546,404256.023,114572.905,426.216,12.25,14
E07-216,44483,404279.397,114543.985,436.983,8.4,10
E07-217,44546,404301.282,114566.424,427.371,7,7
E07-219,44546,404348.635,114565.404,415.575,9,9
E07-220,44483,404374.756,114539.505,427.436,8,8
E07-221,44546,404402.256,114566.375,418.824,6,9
E07-222,44396,404436.52,114549.223,410.055,7.5,8
E07-223,44547,404454.042,114564.828,408.968,7,7
E07-224,44395,404478.58,114553.355,412.94,12,14
E07-245,44317,404205.087,114523.952,463.817,7.6,10
E07-249,44255,404295.97,114526.233,439.577,9,9
E07-250,44483,404335.048,114493.457,444.005,8,10
E07-251,44255,404367.512,114520.598,433.575,4,4
E07-252,44483,404384.318,114497.4,438.546,10,12
E07-253,44255,404397.247,114519.047,424.943,8,8
E07-255,44255,404456.57,114528.277,425.811,10,10
E08-017,44318,404105.843,114472.053,480.323,16,23
E08-019,44318,404166.021,114471.384,482.353,16.5,23
E08-021,44317,404203.157,114475.51,481.967,14.25,16
E08-049,44318,404102.655,114419.963,493.821,12,13
E08-051,44318,404163.211,114430.671,497.381,15,19
E08-053,44317,404206.762,114417.287,495.763,21,30
E08-055,44317,404246.651,114417.947,490.216,16,21
E08-081,44318,404107.593,114373.243,503.433,24,30
E08-083,44318,404164.049,114377.331,511.578,12,15
E08-085,44317,404204.111,114371.364,509.516,21,24
E08-087,44317,404242.884,114364.857,504.449,8.7,9
E08-093,44393,404412.196,114368.233,487.859,10,18
E08-095,44393,404454.272,114371.85,484.179,8,10
E08-113,44318,404110.375,114321.715,515.1885,22,29
E08-115,44318,404165.204,114326.676,517.215,10,14
E08-117,44318,404201.798,114321.768,516.818,16.5,20
E08-119,44317,404261.657,114315.454,517.071,12,14
E08-121,44317,404296.43,114314.889,530.003,7,7
E08-125,44393,404413.196,114324.417,490.078,6,13
E08-126,44391,404435.414,114307.39,506.158,5,8
E08-127,44254,404457.416,114322.241,504.091,6,6
E08-128,44391,404481.886,114285.978,509.763,6,10
E08-145,44318,404132.278,114278.285,524.707,17,25
