sample_id,hole_id,depth_from,depth_to,core_length,cr_%,ni,fe,mgo,sio2
B1/E07-021/JAS/11,E07-021,9,10,1,1,1.28,7.67,26.34,42.79
B1/E07-021/JAS/12,E07-021,10,11,1,1,0.54,8.06,21.35,51.28
B1/E07-021/JAS/13,E07-021,11,12,1,1,0.53,13.66,14.99,47.72
B1/E07-021/JAS/14,E07-021,12,13,1,1,0.39,9.55,21.35,49.88
B1/E07-021/JAS/15,E07-021,13,14,1,1,0.42,9.92,20.27,49.6
B1/E07-021/JAS/16,E07-021,14,15,1,1,0.4,6.77,24.84,52.39
B1/E07-021/JAS/17,E07-021,15,16,1,1,0.6,7.55,22.8,51.33
B1/E07-021/JAS/18,E07-021,16,17,1,1,0.64,7.29,22.29,51.47
B1/E07-021/JAS/19,E07-021,17,18,1,1,0.68,9.45,17.08,53.49
B1/E07-021/JAS/20,E07-021,18,19,1,1,0.47,9.12,18.87,53.17
B1/E07-021/JAS/21,E07-021,19,19.5,0.5,1,0.45,10.14,21.51,45.55
B1/E07-022/JAS/01,E07-022,0,1,1,1,0.66,34.7,5.63,23.68
B1/E07-022/JAS/02,E07-022,1,2,1,1,1.09,47.54,4.29,20.18
B1/E07-022/JAS/03,E07-022,2,3,1,1,1.15,46.49,4.06,19.98
B1/E07-022/JAS/04,E07-022,3,4,1,1,1.26,50.23,5.51,21.07
B1/E07-022/JAS/05,E07-022,4,5,1,1,1.22,44.2,5.28,22.24
B1/E07-022/JAS/06,E07-022,5,6,1,1,2.02,24.51,11.99,35.91
B1/E07-022/JAS/07,E07-022,6,7,1,1,2.03,11.22,25.19,39.18
B1/E07-022/JAS/08,E07-022,7,8,1,1,1.38,53.27,6.69,22.3
B1/E07-022/JAS/09,E07-022,8,9,1,1,1.59,26.34,9.59,34.06
B1/E07-022/JAS/10,E07-022,9,10,1,1,0.9,27.07,11.75,42.39
B1/E07-022/JAS/11,E07-022,10,11,1,1,1.62,24.54,8.24,36.78
B1/E07-022/JAS/12,E07-022,11,12,1,1,1.86,9.03,24.8,42.08
B1/E07-022/JAS/13,E07-022,12,13,1,1,1.94,8.18,28.59,41.58
B1/E07-022/JAS/14,E07-022,13,14,1,1,0.6,8.88,22.22,52.81
B1/E07-022/JAS/15,E07-022,14,15,1,1,0.5,8.42,21.2,56.24
B1/E07-022/JAS/16,E07-022,15,16,1,1,0.88,6.26,27.33,52.93
B1/E07-022/JAS/17,E07-022,16,16.3,0.3,1,0.96,8.18,28.91,43.85
B1/E07-022/JAS/18,E07-022,16.3,16.5,0.2,1,0.87,7.21,33.21,40.94
B1/E07-022/JAS/19,E07-022,16.5,17,0.5,1,1.17,7.82,30.08,42.44
B1/E07-022/JAS/20,E07-022,17,18,1,1,1.19,8.14,27.42,45.53
B1/E07-022/JAS/21,E07-022,18,18.6,0.6,1,1.51,10.4,23.41,43.99
B1/E07-022/JAS/22,E07-022,18.6,18.8,0.2,1,0.88,5.58,36.12,41.46
B1/E07-022/JAS/23,E07-022,18.8,19,0.2,1,1.17,7.48,27.11,48.08
B1/E07-022/JAS/24,E07-022,19,20,1,1,1.69,9.51,24.31,44.81
B1/E07-022/JAS/25,E07-022,20,21,1,1,1.46,8.11,28.46,44.65
B1/E07-022/JAS/26,E07-022,21,22,1,1,1.3,7.14,28.61,46.6
B1/E07-022/JAS/27,E07-022,22,23,1,1,0.65,6.64,32.46,47.09
B1/E07-022/JAS/28,E07-022,23,24,0.4,0.4,0.58,6.87,31.87,47.81
B1/E07-022/JAS/29,E07-022,24,25,1,1,0.89,22.16,10.6,39.39
B1/E07-022/JAS/30,E07-022,25,26,1,1,1.99,21.29,16.45,33.21
B1/E07-022/JAS/31,E07-022,26,27,0.7,0.7,1.68,12.75,22.11,40.94
B1/E07-022/JAS/32,E07-022,27,28,1,1,1.08,18.12,21,36.74
B1/E07-022/JAS/33,E07-022,28,29,1,1,1.06,14.99,21.43,39.98
B1/E07-022/JAS/34,E07-022,29,30,1,1,1.29,23.59,16.49,32.68
B1/E07-023/JAS/01,E07-023,0,1,1,1,0.4,30.41,2.23,25.88
B1/E07-023/JAS/02,E07-023,1,2,1,1,0.6,38.64,0.4,22.74
B1/E07-023/JAS/03,E07-023,2,3,1,1,0.81,37.64,0.73,25.16
B1/E07-023/JAS/04,E07-023,3,4,1,1,0.67,30.79,0.6,32.14
B1/E07-023/JAS/05,E07-023,4,5,1,1,0.75,34.45,0.9,30.92
B1/E07-023/JAS/06,E07-023,5,6,1,1,0.54,22.2,0.84,47.72
B1/E07-023/JAS/07,E07-023,6,7,1,1,0.56,19.88,0.95,50.58
B1/E07-023/JAS/08,E07-023,7,7.5,0.5,1,0.56,19.88,0.95,50.58
B1/E07-024A/JAS/01,E07-024A,0,0.35,0.35,1,0.58,36.06,5.78,23.46
B1/E07-024A/JAS/02,E07-024A,0.35,1,0.65,1,0.55,34.38,6.85,24.1
B1/E07-024A/JAS/03,E07-024A,1,2,1,1,0.76,39.95,6.96,22.01
B1/E07-024A/JAS/04,E07-024A,2,2.65,0.65,1,0.88,41.23,5.99,22.19
B1/E07-024A/JAS/05,E07-024A,2.65,3,0.35,1,0.53,21.08,10.13,48.86
B1/E07-024A/JAS/06,E07-024A,3,3.3,0.3,1,0.57,20.71,12.54,51.39
B1/E07-024A/JAS/07,E07-024A,3.3,4,0.7,1,1.1,36.37,10.41,33.08
B1/E07-024A/JAS/08,E07-024A,4,5,1,1,1.66,51.32,7.09,23.65
B1/E07-024A/JAS/09,E07-024A,5,6,1,1,2.07,30.79,6.76,29.22
B1/E07-024A/JAS/10,E07-024A,6,7,1,1,1.77,14.07,20.53,38.28
B1/E07-024A/JAS/11,E07-024A,7,8,1,1,1.49,22.1,11.51,35.21
B1/E07-024A/JAS/12,E07-024A,8,9,1,1,1.81,20.27,13.19,35.75
B1/E07-024A/JAS/13,E07-024A,9,10,1,1,1.5,14,21.23,40.32
B1/E07-024A/JAS/14,E07-024A,10,10.37,0.37,1,1.33,16.59,14.08,43.49
B1/E07-024A/JAS/15,E07-024A,10.37,10.77,0.4,1,0.45,5.54,39.78,40.53
B1/E07-024A/JAS/16,E07-024A,10.77,11,0.23,1,1.48,18.11,16.71,39.27
B1/E07-024A/JAS/17,E07-024A,11,11.33,0.33,1,0.83,7.37,33.77,41.69
B1/E07-024A/JAS/18,E07-024A,11.33,12,0.67,1,1.4,10.61,25.99,41.85
B1/E07-024A/JAS/19,E07-024A,12,12.52,0.52,1,1.27,10.89,27.23,40.6
B1/E07-024A/JAS/20,E07-024A,12.52,12.8,0.28,1,0.66,5.64,38.9,41.05
B1/E07-024A/JAS/21,E07-024A,12.8,13,0.2,1,0.85,7.4,35.18,42.38
B1/E07-024A/JAS/22,E07-024A,13,14,1,1,1.13,9.69,29.75,41.61
B1/E07-024A/JAS/23,E07-024A,14,15,1,1,1.19,7.8,31.16,42.53
B1/E07-024A/JAS/24,E07-024A,15,16,1,1,0.33,6.72,38.08,42.96
B1/E07-024A/JAS/25,E07-024A,16,17,1,1,0.41,6.54,36.64,41.95
B1/E07-024A/JAS/26,E07-024A,17,18,1,1,0.41,6.54,36.64,41.95
B1/E07-025/JAS/01,E07-025,0,1,1,1,0.43,31.14,1.63,26.85
B1/E07-025/JAS/02,E07-025,1,2,1,1,0.63,38.54,0.74,24.36
B1/E07-025/JAS/03,E07-025,2,3,1,1,0.57,25.18,1.93,43.78
B1/E07-025/JAS/04,E07-025,3,4,1,1,1.1,36.55,2.72,32.41
B1/E07-025/JAS/05,E07-025,4,5,1,1,1.9,13.13,19.03,39.15
B1/E07-025/JAS/06,E07-025,5,6,1,1,1.79,16.82,16.71,37.19
B1/E07-025/JAS/07,E07-025,6,7,1,1,1.68,19.21,12.23,36.84
B1/E07-025/JAS/08,E07-025,7,8,1,1,1.24,3.92,26.48,55.73
B1/E07-025/JAS/09,E07-025,8,9,1,1,1.5,16.87,16.08,38.73
B1/E07-025/JAS/10,E07-025,9,10,1,1,0.31,6.07,33.04,43.9
B1/E07-025/JAS/11,E07-025,10,11,1,1,0.28,6.49,33.67,42.23
B1/E07-025/JAS/12,E07-025,11,12,1,1,0.25,5.36,36.23,42.78
B1/E07-025/JAS/13,E07-025,12,13,1,1,0.26,5.38,35.96,42.53
B1/E07-025/JAS/14,E07-025,13,14,1,1,0.26,5.68,34.96,42.83
B1/E07-025/JAS/15,E07-025,14,15,1,1,0.25,5.31,36.74,43.32
B1/E07-026/JAS/01,E07-026,0,1,1,1,0.43,31,13.13,26.93
B1/E07-026/JAS/02,E07-026,1,1.3,0.3,1,0.39,28.64,16.73,28.7
B1/E07-026/JAS/03,E07-026,1.3,2.12,0.82,1,0.17,5.93,44.82,87.8
B1/E07-026/JAS/04,E07-026,2.12,3,0.88,1,0.83,25.77,13.57,33.05
B1/E07-026/JAS/05,E07-026,3,4,1,1,0.64,7.17,45.66,44.3
B1/E07-026/JAS/06,E07-026,4,5,1,1,0.55,7.58,37.71,44.18
B1/E07-026/JAS/07,E07-026,5,6,1,1,0.39,6.44,37.42,42.51
B1/E07-026/JAS/08,E07-026,6,6.25,0.25,1,0.28,5.72,39.29,42.4
B1/E07-026/JAS/09,E07-026,6.25,7,0.75,1,0.22,5.3,55.25,43.58
B1/E07-026/JAS/10,E07-026,7,8,1,1,0.26,5.79,42.67,42.59
B1/E07-026/JAS/11,E07-026,8,9,1,1,0.24,5.51,40.95,43.07
B1/E07-026/JAS/12,E07-026,9,9.8,0.8,1,0.26,5.88,39.22,42.63
B1/E07-026/JAS/13,E07-026,9.8,10,0.2,1,0.25,5.6,38.75,41.39
B1/E07-026/JAS/14,E07-026,10,11,1,1,0.25,5.49,40.03,41.36
