sample_id,hole_id,depth_from,depth_to,core_length,cr_%,lith
B1/E07-028/JAS/06,E07-028,3,4,1,1,SROC
B1/E07-028/JAS/07,E07-028,4,5,1,1,SROC
B1/E07-028/JAS/08,E07-028,5,6,1,1,BRK
B1/E07-028/JAS/09,E07-028,6,7,1,1,BRK
B1/E07-028/JAS/10,E07-028,7,7.5,0.5,1,BRK
B1/E07-029/JAS/01,E07-029,0,1,1,1,LIM
B1/E07-029/JAS/02,E07-029,1,2,1,1,LIM
B1/E07-029/JAS/03,E07-029,2,2.6,0.6,1,LIM
B1/E07-029/JAS/04,E07-029,2.6,3,0.4,1,SAP
B1/E07-029/JAS/05,E07-029,3,4,1,1,SAP
B1/E07-029/JAS/06,E07-029,4,5,1,1,SAP
B1/E07-029/JAS/07,E07-029,5,6,1,1,RSAP
B1/E07-029/JAS/08,E07-029,6,7,1,1,RSAP
B1/E07-029/JAS/09,E07-029,7,8,1,1,RSAP
B1/E07-029/JAS/10,E07-029,8,9,1,1,RSAP
B1/E07-029/JAS/11,E07-029,9,10,1,1,RSAP
B1/E07-029/JAS/12,E07-029,10,11,0.9,0.9,RSAP
B1/E07-029/JAS/13,E07-029,11,11.7,0.7,1,RSAP
B1/E07-029/JAS/14,E07-029,11.7,12.7,1,1,BRK
B1/E07-029/JAS/15,E07-029,12.7,13.7,1,1,BRK
B1/E07-030/JAS/01,E07-030,0,1,1,1,LIM
B1/E07-030/JAS/02,E07-030,1,2,1,1,LIM
B1/E07-030/JAS/03,E07-030,2,2.35,0.35,1,SAP
B1/E07-030/JAS/04,E07-030,2.35,3,0.65,1,RSAP
B1/E07-030/JAS/05,E07-030,3,4,1,1,RSAP
B1/E07-030/JAS/06,E07-030,4,5,1,1,RSAP
B1/E07-030/JAS/07,E07-030,5,6,1,1,RSAP
B1/E07-030/JAS/08,E07-030,6,7,1,1,RSAP
B1/E07-030/JAS/09,E07-030,7,8,1,1,SAP
B1/E07-030/JAS/10,E07-030,8,9,1,1,SAP
B1/E07-030/JAS/11,E07-030,9,10,1,1,SAP
B1/E07-030/JAS/12,E07-030,10,10.65,0.65,1,RSAP
B1/E07-030/JAS/13,E07-030,10.65,11.2,0.55,1,BLD
B1/E07-030/JAS/14,E07-030,11.2,12,0.8,1,SROC
B1/E07-030/JAS/15,E07-030,12,13,1,1,RSAP
B1/E07-030/JAS/16,E07-030,13,13.2,0.2,1,RSAP
B1/E07-030/JAS/17,E07-030,13.2,14.2,1,1,BLD
B1/E07-030/JAS/18,E07-030,14.2,15,0.8,1,RSAP
B1/E07-030/JAS/19,E07-030,15,15.6,0.6,1,RSAP
B1/E07-030/JAS/20,E07-030,15.6,16.1,0.5,1,SROC
B1/E07-030/JAS/21,E07-030,16.1,16.6,0.5,1,BLD
B1/E07-030/JAS/22,E07-030,16.6,17.4,0.8,1,SROC
B1/E07-030/JAS/23,E07-030,17.4,18.25,0.85,1,BLD
B1/E07-030/JAS/24,E07-030,18.25,19,0.75,1,SROC
B1/E07-030/JAS/25,E07-030,19,20,1,1,SROC
B1/E07-030/JAS/26,E07-030,20,21,1,1,SROC
B1/E07-030/JAS/27,E07-030,21,21.3,0.3,1,SROC
B1/E07-030/JAS/28,E07-030,21.3,21.65,0.35,1,BLD
B1/E07-030/JAS/29,E07-030,21.65,22.1,0.45,1,SROC
B1/E07-030/JAS/30,E07-030,22.1,22.5,0.4,1,BRK
B1/E07-031/JAS/01,E07-031,0,1,1,1,LIM
B1/E07-031/JAS/02,E07-031,1,2,1,1,LIM
B1/E07-031/JAS/03,E07-031,2,3,1,1,LIM
B1/E07-031/JAS/04,E07-031,3,4,1,1,LIM
